Date,N225.Close
1/5/2009,9043.120117
1/6/2009,9080.839844
1/7/2009,9239.240234
1/8/2009,8876.419922
1/9/2009,8836.799805
1/13/2009,8413.910156
1/14/2009,8438.450195
1/15/2009,8023.310059
1/16/2009,8230.150391
1/19/2009,8256.849609
1/20/2009,8065.790039
1/21/2009,7901.640137
1/22/2009,8051.740234
1/23/2009,7745.25
1/26/2009,7682.140137
1/27/2009,8061.069824
1/28/2009,8106.290039
1/29/2009,8251.240234
1/30/2009,7994.049805
2/2/2009,7873.97998
2/3/2009,7825.509766
2/4/2009,8038.939941
2/5/2009,7949.649902
2/6/2009,8076.620117
2/9/2009,7969.029785
2/10/2009,7945.939941
2/12/2009,7705.359863
2/13/2009,7779.399902
2/16/2009,7750.169922
2/17/2009,7645.509766
2/18/2009,7534.439941
2/19/2009,7557.649902
2/20/2009,7416.379883
2/23/2009,7376.160156
2/24/2009,7268.560059
2/25/2009,7461.220215
2/26/2009,7457.930176
2/27/2009,7568.419922
3/2/2009,7280.149902
3/3/2009,7229.720215
3/4/2009,7290.959961
3/5/2009,7433.490234
3/6/2009,7173.100098
3/9/2009,7086.029785
3/10/2009,7054.97998
3/11/2009,7376.120117
3/12/2009,7198.25
3/13/2009,7569.279785
3/16/2009,7704.149902
3/17/2009,7949.129883
3/18/2009,7972.169922
3/19/2009,7945.959961
3/23/2009,8215.530273
3/24/2009,8488.299805
3/25/2009,8479.990234
3/26/2009,8636.330078
3/27/2009,8626.969727
3/30/2009,8236.080078
3/31/2009,8109.529785
4/1/2009,8351.910156
4/2/2009,8719.780273
4/3/2009,8749.839844
4/6/2009,8857.929688
4/7/2009,8832.849609
4/8/2009,8595.009766
4/9/2009,8916.05957
4/10/2009,8964.110352
4/13/2009,8924.429688
4/14/2009,8842.679688
4/15/2009,8742.959961
4/16/2009,8755.259766
4/17/2009,8907.580078
4/20/2009,8924.75
4/21/2009,8711.330078
4/22/2009,8727.299805
4/23/2009,8847.009766
4/24/2009,8707.990234
4/27/2009,8726.339844
4/28/2009,8493.769531
4/30/2009,8828.259766
5/1/2009,8977.370117
5/7/2009,9385.700195
5/8/2009,9432.830078
5/11/2009,9451.980469
5/12/2009,9298.610352
5/13/2009,9340.490234
5/14/2009,9093.730469
5/15/2009,9265.019531
5/18/2009,9038.69043
5/19/2009,9290.290039
5/20/2009,9344.639648
5/21/2009,9264.150391
5/22/2009,9225.80957
5/25/2009,9347
5/26/2009,9310.80957
5/27/2009,9438.769531
5/28/2009,9451.389648
5/29/2009,9522.5
6/1/2009,9677.75
6/2/2009,9704.30957
6/3/2009,9741.669922
6/4/2009,9668.959961
6/5/2009,9768.009766
6/8/2009,9865.629883
6/9/2009,9786.820313
6/10/2009,9991.490234
6/11/2009,9981.330078
6/12/2009,10135.82031
6/15/2009,10039.66992
6/16/2009,9752.879883
6/17/2009,9840.849609
6/18/2009,9703.719727
6/19/2009,9786.259766
6/22/2009,9826.269531
6/23/2009,9549.610352
6/24/2009,9590.320313
6/25/2009,9796.080078
6/26/2009,9877.389648
6/29/2009,9783.469727
6/30/2009,9958.44043
