Date,GDAXI.Close
1/2/2009,4973.069824
1/5/2009,4983.990234
1/6/2009,5026.310059
1/7/2009,4937.470215
1/8/2009,4879.910156
1/9/2009,4783.890137
1/12/2009,4719.620117
1/13/2009,4636.939941
1/14/2009,4422.350098
1/15/2009,4336.72998
1/16/2009,4366.279785
1/19/2009,4316.140137
1/20/2009,4239.850098
1/21/2009,4261.149902
1/22/2009,4219.419922
1/23/2009,4178.939941
1/26/2009,4326.870117
1/27/2009,4323.419922
1/28/2009,4518.720215
1/29/2009,4428.109863
1/30/2009,4338.350098
2/2/2009,4271.040039
2/3/2009,4374.959961
2/4/2009,4492.790039
2/5/2009,4510.490234
2/6/2009,4644.629883
2/9/2009,4666.819824
2/10/2009,4505.540039
2/11/2009,4530.089844
2/12/2009,4407.560059
2/13/2009,4413.390137
2/16/2009,4366.640137
2/17/2009,4216.600098
2/18/2009,4204.959961
2/19/2009,4215.209961
2/20/2009,4014.659912
2/23/2009,3936.449951
2/24/2009,3895.75
2/25/2009,3846.209961
2/26/2009,3942.620117
2/27/2009,3843.73999
3/2/2009,3710.070068
3/3/2009,3690.719971
3/4/2009,3890.939941
3/5/2009,3695.48999
3/6/2009,3666.409912
3/9/2009,3692.030029
3/10/2009,3886.97998
3/11/2009,3914.100098
3/12/2009,3956.219971
3/13/2009,3953.600098
3/16/2009,4044.540039
3/17/2009,3987.77002
3/18/2009,3996.320068
3/19/2009,4043.459961
3/20/2009,4068.73999
3/23/2009,4176.370117
3/24/2009,4187.359863
3/25/2009,4223.290039
3/26/2009,4259.370117
3/27/2009,4203.549805
3/30/2009,3989.22998
3/31/2009,4084.76001
4/1/2009,4131.069824
4/2/2009,4381.919922
4/3/2009,4384.990234
4/6/2009,4349.810059
4/7/2009,4322.5
4/8/2009,4357.919922
4/9/2009,4491.120117
4/14/2009,4557.009766
4/15/2009,4549.790039
4/16/2009,4609.459961
4/17/2009,4676.839844
4/20/2009,4486.299805
4/21/2009,4501.629883
4/22/2009,4594.419922
4/23/2009,4538.209961
4/24/2009,4674.319824
4/27/2009,4694.069824
4/28/2009,4607.419922
4/29/2009,4704.560059
4/30/2009,4769.450195
5/4/2009,4902.450195
5/5/2009,4853.029785
5/6/2009,4880.709961
5/7/2009,4804.100098
5/8/2009,4913.899902
5/11/2009,4866.910156
5/12/2009,4854.109863
5/13/2009,4727.609863
5/14/2009,4738.470215
5/15/2009,4737.5
5/18/2009,4851.959961
5/19/2009,4959.620117
5/20/2009,5038.939941
5/21/2009,4900.669922
5/22/2009,4918.75
5/25/2009,4918.450195
5/26/2009,4985.600098
5/27/2009,5000.77002
5/28/2009,4932.879883
5/29/2009,4940.819824
6/1/2009,5142.560059
6/2/2009,5144.060059
6/3/2009,5054.529785
6/4/2009,5064.799805
6/5/2009,5077.029785
6/8/2009,5004.720215
6/9/2009,4997.859863
6/10/2009,5051.180176
6/11/2009,5107.259766
6/12/2009,5069.240234
6/15/2009,4889.939941
6/16/2009,4890.720215
6/17/2009,4799.97998
6/18/2009,4837.47998
6/19/2009,4839.459961
6/22/2009,4693.399902
6/23/2009,4707.149902
6/24/2009,4836.009766
6/25/2009,4800.560059
6/26/2009,4776.470215
6/29/2009,4885.089844
6/30/2009,4808.640137
7/1/2009,4905.439941
7/2/2009,4718.490234
7/3/2009,4708.209961
7/6/2009,4651.819824
7/7/2009,4598.189941
7/8/2009,4572.649902
7/9/2009,4630.069824
7/10/2009,4576.310059
7/13/2009,4722.339844
7/14/2009,4781.689941
7/15/2009,4928.439941
7/16/2009,4957.189941
7/17/2009,4978.399902
7/20/2009,5030.149902
7/21/2009,5093.970215
7/22/2009,5121.560059
7/23/2009,5247.279785
7/24/2009,5229.359863
7/27/2009,5251.549805
7/28/2009,5174.740234
7/29/2009,5270.319824
7/30/2009,5360.660156
7/31/2009,5332.140137
8/3/2009,5426.850098
8/4/2009,5417.02002
8/5/2009,5353.009766
8/6/2009,5369.97998
8/7/2009,5458.959961
8/10/2009,5418.120117
8/11/2009,5285.810059
8/12/2009,5350.089844
8/13/2009,5401.109863
8/14/2009,5309.109863
8/17/2009,5201.609863
8/18/2009,5250.740234
8/19/2009,5231.97998
8/20/2009,5311.060059
8/21/2009,5462.740234
8/24/2009,5519.75
8/25/2009,5557.089844
8/26/2009,5521.970215
8/27/2009,5470.330078
8/28/2009,5517.350098
8/31/2009,5464.609863
9/1/2009,5327.290039
9/2/2009,5319.839844
9/3/2009,5301.419922
9/4/2009,5384.430176
9/7/2009,5463.509766
9/8/2009,5481.72998
9/9/2009,5574.259766
9/10/2009,5594.77002
9/11/2009,5624.02002
9/14/2009,5620.240234
9/15/2009,5628.97998
9/16/2009,5700.259766
9/17/2009,5731.140137
9/18/2009,5703.830078
9/21/2009,5668.649902
9/22/2009,5709.379883
9/23/2009,5702.049805
9/24/2009,5605.209961
9/25/2009,5581.410156
9/28/2009,5736.310059
9/29/2009,5713.52002
9/30/2009,5675.160156
10/1/2009,5554.549805
10/2/2009,5467.899902
10/5/2009,5508.850098
10/6/2009,5657.640137
10/7/2009,5640.75
10/8/2009,5716.540039
10/9/2009,5711.879883
10/12/2009,5783.22998
10/13/2009,5714.310059
10/14/2009,5854.140137
10/15/2009,5830.77002
10/16/2009,5743.390137
10/19/2009,5852.560059
10/20/2009,5811.77002
10/21/2009,5833.490234
10/22/2009,5762.930176
10/23/2009,5740.25
10/26/2009,5642.160156
10/27/2009,5635.02002
10/28/2009,5496.27002
10/29/2009,5587.450195
10/30/2009,5414.959961
11/2/2009,5430.819824
11/3/2009,5353.350098
11/4/2009,5444.22998
11/5/2009,5480.919922
11/6/2009,5488.25
11/9/2009,5619.720215
11/10/2009,5613.200195
11/11/2009,5668.350098
11/12/2009,5663.959961
11/13/2009,5686.830078
11/16/2009,5804.819824
11/17/2009,5778.430176
11/18/2009,5787.609863
11/19/2009,5702.180176
11/20/2009,5663.149902
11/23/2009,5801.47998
11/24/2009,5769.310059
11/25/2009,5803.02002
11/26/2009,5614.169922
11/27/2009,5685.609863
11/30/2009,5625.950195
12/1/2009,5776.609863
12/2/2009,5781.680176
12/3/2009,5770.350098
