Date,HSI.Close
1/2/2009,15042.80957
1/5/2009,15563.30957
1/6/2009,15509.50977
1/7/2009,14987.45996
1/8/2009,14415.91016
1/9/2009,14377.44043
1/12/2009,13971
1/13/2009,13668.04981
1/14/2009,13704.61035
1/15/2009,13242.95996
1/16/2009,13255.50977
1/19/2009,13339.99023
1/20/2009,12959.76953
1/21/2009,12583.62988
1/22/2009,12657.99023
1/23/2009,12578.59961
1/29/2009,13154.42969
1/30/2009,13278.20996
2/2/2009,12861.49023
2/3/2009,12776.88965
2/4/2009,13063.88965
2/5/2009,13178.90039
2/6/2009,13655.04004
2/9/2009,13769.05957
2/10/2009,13880.63965
2/11/2009,13539.20996
2/12/2009,13228.29981
2/13/2009,13554.66992
2/16/2009,13455.87988
2/17/2009,12945.40039
2/18/2009,13016
2/19/2009,13023.36035
2/20/2009,12699.16992
2/23/2009,13175.09961
2/24/2009,12798.51953
2/25/2009,13005.08008
2/26/2009,12894.94043
2/27/2009,12811.57031
3/2/2009,12317.45996
3/3/2009,12033.87988
3/4/2009,12331.15039
3/5/2009,12211.24023
3/6/2009,11921.51953
3/9/2009,11344.58008
3/10/2009,11694.04981
3/11/2009,11930.66016
3/12/2009,12001.53027
3/13/2009,12525.79981
3/16/2009,12976.70996
3/17/2009,12878.08984
3/18/2009,13117.16992
3/19/2009,13130.91992
3/20/2009,12833.50977
3/23/2009,13447.41992
3/24/2009,13910.33984
3/25/2009,13622.11035
3/26/2009,14108.98047
3/27/2009,14119.5
3/30/2009,13456.33008
3/31/2009,13576.01953
4/1/2009,13519.54004
4/2/2009,14521.96973
4/3/2009,14545.69043
4/6/2009,14998.04004
4/7/2009,14928.96973
4/8/2009,14474.86035
4/9/2009,14901.41016
4/14/2009,15580.16016
4/15/2009,15669.62012
4/16/2009,15582.99023
4/17/2009,15601.26953
4/20/2009,15750.91016
4/21/2009,15285.88965
4/22/2009,14878.4502
4/23/2009,15214.45996
4/24/2009,15258.84961
4/27/2009,14840.41992
4/28/2009,14555.11035
4/29/2009,14956.9502
4/30/2009,15520.99023
5/4/2009,16381.04981
5/5/2009,16430.08008
5/6/2009,16834.57031
5/7/2009,17217.89063
5/8/2009,17389.86914
5/11/2009,17087.94922
5/12/2009,17153.64063
5/13/2009,17059.61914
5/14/2009,16541.68945
5/15/2009,16790.69922
5/18/2009,17022.91016
5/19/2009,17544.0293
5/20/2009,17475.83984
5/21/2009,17199.49023
5/22/2009,17062.51953
5/25/2009,17121.82031
5/26/2009,16991.56055
5/27/2009,17885.26953
5/29/2009,18171
6/1/2009,18888.58984
6/2/2009,18389.08008
6/3/2009,18576.4707
6/4/2009,18502.76953
6/5/2009,18679.5293
6/8/2009,18253.39063
6/9/2009,18058.49023
6/10/2009,18785.66016
6/11/2009,18791.0293
6/12/2009,18889.67969
6/15/2009,18498.96094
6/16/2009,18165.5
6/17/2009,18084.59961
6/18/2009,17776.66016
6/19/2009,17920.92969
6/22/2009,18059.55078
6/23/2009,17538.36914
6/24/2009,17892.15039
6/25/2009,18275.0293
6/26/2009,18600.25977
6/29/2009,18528.50977
6/30/2009,18378.73047
7/2/2009,18178.05078
7/3/2009,18203.40039
7/6/2009,17979.41016
7/7/2009,17862.26953
7/8/2009,17721.07031
7/9/2009,17790.58984
7/10/2009,17708.41992
7/13/2009,17254.63086
7/14/2009,17885.73047
7/15/2009,18258.66016
7/16/2009,18361.86914
7/17/2009,18805.66016
7/20/2009,19502.36914
7/21/2009,19501.73047
7/22/2009,19248.16992
7/23/2009,19817.69922
7/24/2009,19982.78906
7/27/2009,20251.61914
7/28/2009,20624.53906
7/29/2009,20135.5
7/30/2009,20234.08008
7/31/2009,20573.33008
8/3/2009,20807.25977
8/4/2009,20796.42969
8/5/2009,20494.76953
8/6/2009,20899.24023
8/7/2009,20375.36914
8/10/2009,20929.51953
8/11/2009,21074.21094
8/12/2009,20435.24023
8/13/2009,20861.30078
8/14/2009,20893.33008
8/17/2009,20137.65039
8/18/2009,20306.26953
8/19/2009,19954.23047
8/20/2009,20328.85938
8/21/2009,20199.01953
8/24/2009,20535.93945
8/25/2009,20435.24023
8/26/2009,20456.32031
8/27/2009,20242.75
8/28/2009,20098.61914
8/31/2009,19724.18945
9/1/2009,19872.30078
9/2/2009,19522
9/3/2009,19761.67969
9/4/2009,20318.61914
9/7/2009,20629.31055
9/8/2009,21069.81055
9/9/2009,20851.03906
9/10/2009,21069.56055
9/11/2009,21161.41992
9/14/2009,20932.19922
9/15/2009,20866.36914
9/16/2009,21402.91992
9/17/2009,21768.50977
9/18/2009,21623.44922
9/21/2009,21472.84961
9/22/2009,21701.14063
9/23/2009,21595.51953
9/24/2009,21050.73047
9/25/2009,21024.40039
9/28/2009,20588.41016
9/29/2009,21013.16992
9/30/2009,20955.25
10/2/2009,20375.49023
10/5/2009,20429.07031
10/6/2009,20811.5293
10/7/2009,21241.58984
10/8/2009,21492.90039
10/9/2009,21499.43945
10/12/2009,21299.34961
10/13/2009,21467.35938
10/14/2009,21886.48047
10/15/2009,21999.08008
10/16/2009,21929.90039
10/19/2009,22200.46094
10/20/2009,22384.96094
10/21/2009,22318.10938
10/22/2009,22210.51953
10/23/2009,22589.73047
10/27/2009,22169.58984
10/28/2009,21761.58008
10/29/2009,21264.99023
10/30/2009,21752.86914
11/2/2009,21620.18945
11/3/2009,21240.06055
11/4/2009,21614.76953
11/5/2009,21479.08008
11/6/2009,21829.7207
11/9/2009,22207.55078
11/10/2009,22268.16016
11/11/2009,22627.21094
11/12/2009,22397.57031
11/13/2009,22553.63086
11/16/2009,22943.98047
11/17/2009,22914.15039
11/18/2009,22840.33008
11/19/2009,22643.16016
11/20/2009,22455.83984
11/23/2009,22771.39063
11/24/2009,22423.14063
11/25/2009,22611.80078
11/26/2009,22210.41016
11/27/2009,21134.5
11/30/2009,21821.5
12/1/2009,22113.15039
12/2/2009,22289.57031
12/3/2009,22553.86914
12/4/2009,22498.15039
12/7/2009,22324.96094
12/8/2009,22060.51953
12/9/2009,21741.75977
12/10/2009,21700.03906
12/11/2009,21902.10938
12/14/2009,22085.75
12/15/2009,21813.91992
12/16/2009,21611.74023
12/17/2009,21347.63086
12/18/2009,21175.88086
12/21/2009,20948.09961
12/22/2009,21092.03906
12/23/2009,21328.74023
12/24/2009,21517
12/28/2009,21480.2207
12/29/2009,21499.43945
12/30/2009,21496.61914
12/31/2009,21872.5
1/4/2010,21823.2793
1/5/2010,22279.58008
1/6/2010,22416.66992
1/7/2010,22269.44922
1/8/2010,22296.75
1/11/2010,22411.51953
1/12/2010,22326.64063
1/13/2010,21748.59961
1/14/2010,21716.94922
1/15/2010,21654.16016
1/18/2010,21460.00977
1/19/2010,21677.98047
1/20/2010,21286.16992
1/21/2010,20862.66992
1/22/2010,20726.17969
1/25/2010,20598.55078
1/26/2010,20109.33008
1/27/2010,20033.07031
1/28/2010,20356.36914
1/29/2010,20121.99023
2/1/2010,20243.75
2/2/2010,20272.17969
2/3/2010,20722.08008
2/4/2010,20341.64063
2/5/2010,19665.08008
2/8/2010,19550.89063
2/9/2010,19790.2793
2/10/2010,19922.2207
2/11/2010,20290.68945
2/12/2010,20268.68945
2/17/2010,20534.00977
2/18/2010,20422.15039
2/19/2010,19894.01953
2/22/2010,20377.26953
2/23/2010,20623
2/24/2010,20467.74023
2/25/2010,20399.57031
2/26/2010,20608.69922
3/1/2010,21056.92969
3/2/2010,20906.10938
3/3/2010,20876.78906
3/4/2010,20575.7793
3/5/2010,20787.9707
3/8/2010,21196.86914
3/9/2010,21207.55078
3/10/2010,21208.28906
3/11/2010,21228.19922
3/12/2010,21209.74023
3/15/2010,21079.09961
3/16/2010,21022.92969
3/17/2010,21384.49023
3/18/2010,21330.66992
3/19/2010,21370.82031
3/22/2010,20933.25
3/23/2010,20987.7793
3/24/2010,21008.61914
3/25/2010,20778.55078
3/26/2010,21053.10938
3/29/2010,21237.42969
3/30/2010,21374.78906
3/31/2010,21239.34961
4/1/2010,21537
4/7/2010,21928.76953
4/8/2010,21867.03906
4/9/2010,22208.5
4/12/2010,22138.16992
4/13/2010,22103.5293
4/14/2010,22121.42969
4/15/2010,22157.82031
4/16/2010,21865.25977
4/19/2010,21405.16992
4/20/2010,21623.38086
4/21/2010,21510.92969
4/22/2010,21454.93945
4/23/2010,21244.49023
4/26/2010,21587.06055
4/27/2010,21261.78906
4/28/2010,20949.40039
4/29/2010,20778.91992
4/30/2010,21108.58984
5/3/2010,20811.35938
5/4/2010,20763.05078
5/5/2010,20327.53906
5/6/2010,20133.41016
5/7/2010,19920.28906
5/10/2010,20426.64063
5/11/2010,20146.50977
5/12/2010,20212.49023
5/13/2010,20422.46094
